baseline_id,instance_id,fault_id,instance_label,model_id,model_name,model_variant,expected_model_variant,observed_model_variants,model_binding_valid,workload_fingerprint,layer,predicted_layer,layer_correct,diagnosis_complete,scope,runner_case,low_hint,oracle,strict_success,passed,real_llm,blind,fault_triggered,attempts,effective_rounds,patch_count,validation_status,restore_status,regression_passed,failure_reason,runner_error,wall_time_sec
r_hier,EX-01-A,EX-01,A,M1,CNN,cnn,cnn,cnn,True,558837dadb785d9bb0ceb874aea730a95f0046cfbc7c80502bdf0738b83b1257,execution,execution,True,True,candidate,EX-01,False,candidate tensor boundary type probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,36.061285
r_hier,EX-01-B,EX-01,B,M2,Image MLP,mlp,mlp,mlp,True,192f7c1c6597a79387e9157132a96f8d87a56f742abd17974f228ee56b4203a6,execution,execution,True,True,candidate,EX-01,False,candidate tensor boundary type probe,True,True,True,True,True,2,2,1,verified_restored,True,True,,,56.811893
r_hier,EX-02-A,EX-02,A,M1,CNN,cnn,cnn,cnn,True,60055617015b7b534c9105300341330988a9a795223e5f007f4579ed99fce6d6,execution,execution,True,True,candidate,EX-02,False,candidate dtype-sensitive matmul probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,22.438371
r_hier,EX-02-B,EX-02,B,M3,Transformer Classifier,transformer,transformer,transformer,True,5ada85d964e5ee884873dc558d7385b82e7fae7f918c0b1f2fa4ce95927cb2d0,execution,execution,True,True,candidate,EX-02,False,candidate dtype-sensitive matmul probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,24.411723
r_hier,EX-03-A,EX-03,A,M1,CNN,cnn,cnn,cnn,True,54b7febc9de112b2350f32a352c7728b06028b188646eb864cb6d8219d142f13,execution,execution,True,True,candidate,EX-03,False,candidate high-rank permutation probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,24.126847
r_hier,EX-03-B,EX-03,B,M4,Tiny Causal LM,causal_lm,causal_lm,causal_lm,True,a399ba4791391e0b4bbde68f90faf61e5d26ab7784f9c92eec4d47ac1b05113e,execution,execution,True,True,candidate,EX-03,False,candidate high-rank permutation probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,25.151504
r_hier,EX-04-A,EX-04,A,M2,Image MLP,mlp,mlp,mlp,True,615cdb78253a74a05430a6fc049e7c66f05be0a270ade12a9a52c2cb6ab92e08,execution,execution,True,True,candidate,EX-04,False,candidate index dtype probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,16.386961
r_hier,EX-04-B,EX-04,B,M3,Transformer Classifier,transformer,transformer,transformer,True,f5ac3428e77cf06b988448345d8664685db979c5ee7ad0ffd50ed78f73e54921,execution,execution,True,True,candidate,EX-04,False,candidate index dtype probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,17.505817
r_hier,EX-05-A,EX-05,A,M2,Image MLP,mlp,mlp,mlp,True,0ed6b9f6bc9277aa2a5ec7d62580351a35a126cc0cafc3744424d15b747551aa,execution,execution,True,True,candidate,EX-05,False,candidate input container contract probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,31.442366
r_hier,EX-05-B,EX-05,B,M4,Tiny Causal LM,causal_lm,causal_lm,causal_lm,True,080db4534e539eb5c08ffc269f82d72aa82f399eda02dd14884bd3832019d1a9,execution,execution,True,True,candidate,EX-05,False,candidate input container contract probe,True,True,True,True,True,1,1,1,verified_restored,True,True,,,21.552572
r_hier,EX-06-A,EX-06,A,M3,Transformer Classifier,transformer,transformer,transformer,True,b21cc9cffc49c8529d937674cb7ff897c3c634758bf4dff5e2698bd36b503712,execution,execution,True,True,core_operator,,False,tensor boundary type probe,False,False,True,True,True,0,0,0,,True,False,wrong_root_cause_hypothesis,,83.766483
r_hier,EX-06-B,EX-06,B,M4,Tiny Causal LM,causal_lm,causal_lm,causal_lm,True,8ef69b1f40c3ce6ba189650c6fea17891535379e42b86121c827f7e698e827f1,execution,execution,True,True,core_operator,,False,tensor boundary type probe,False,False,True,True,True,0,0,0,,True,False,wrong_root_cause_hypothesis,,68.821332
